"Adult literacy rate (% ages 15 and older)"
"HDI Rank","Country","1990","1995","2000","2005","2010","2011","2012","2013"
"171"," Afghanistan","","","","","","31.7","",""
"85"," Albania","","","","","","96.8","",""
"149"," Angola","","","","","","","70.6",""
"58"," Antigua and Barbuda","","","","","","","99.0",""
"40"," Argentina","","","","","","","97.9",""
"85"," Armenia","","","","","","","99.6",""
"78"," Azerbaijan","","","","","99.8","99.8","99.8",""
"45"," Bahrain","","","","","94.6","","",""
"142"," Bangladesh","","","","","","","58.8",""
"132"," Bhutan","","","","52.8","","","",""
"119"," Bolivia (Plurinational State of)","","","","","","92.2","94.5",""
"85"," Bosnia and Herzegovina","","","96.7","","","","98.2",""
"106"," Botswana","","","","","","","86.7",""
"75"," Brazil","","","86.4","","90.4","91.4","91.3",""
"31"," Brunei Darussalam","","","","","","","95.4",""
"59"," Bulgaria","","","","","","98.4","",""
"183"," Burkina Faso","","","","23.6","","","",""
"184"," Burundi","37.4","","59.3","","","","",""
"122"," Cabo Verde","62.8","","","","","","85.3",""
"153"," Cameroon","","","68.4","","71.3","","",""
"187"," Central African Republic","","","50.6","","36.8","","",""
"185"," Chad","","","25.7","","","","37.3",""
"90"," China","77.8","","90.9","","95.1","","",""
"97"," Colombia","","","","92.8","93.4","93.6","",""
"159"," Comoros","","","68.5","","","","75.9",""
"136"," Congo","","","","","","79.3","",""
"69"," Costa Rica","","","94.9","","","97.4","",""
"47"," Croatia","","","","","","99.1","",""
"67"," Cuba","","","","","","","99.8",""
"32"," Cyprus","","","","","","98.7","",""
"172"," Côte d'Ivoire","","","48.7","","","","41.0",""
"101"," Dominican Republic","","","","","89.5","90.1","90.2","90.9"
"88"," Ecuador","88.3","","","","91.9","91.6","","93.3"
"108"," Egypt","","","","71.4","72.0","","73.9",""
"116"," El Salvador","","","","","84.5","85.5","",""
"138"," Equatorial Guinea","","","88.3","","","","94.5",""
"186"," Eritrea","","","","","","","70.5",""
"30"," Estonia","","","99.8","","","99.9","",""
"174"," Ethiopia","","","","29.8","","","",""
"110"," Gabon","","","","","","","82.3",""
"175"," Gambia","","","36.8","","","","52.0",""
"76"," Georgia","","","","","","","99.7",""
"140"," Ghana","","","57.9","","71.5","","",""
"29"," Greece","","","","","","","97.4",""
"128"," Guatemala","","","","","","","78.3",""
"182"," Guinea","","","","","25.3","","",""
"178"," Guinea-Bissau","","","41.4","","","","56.7",""
"131"," Honduras","","","","","84.8","85.1","85.4",""
"44"," Hungary","","","","","","","99.4",""
"110"," Indonesia","81.5","","","","","92.8","",""
"69"," Iran (Islamic Republic of)","","","","82.4","","","84.3",""
"121"," Iraq","","","74.1","","","","79.0",""
"18"," Israel","","","","","","97.8","",""
"27"," Italy","","","","","","","99.0",""
"99"," Jamaica","","","","","","","87.5",""
"80"," Jordan","","","","91.1","92.6","95.9","97.9",""
"145"," Kenya","","","82.2","","","","",""
"48"," Kuwait","","78.4","","93.3","","","95.5",""
"141"," Lao People's Democratic Republic","","60.3","69.6","72.7","","","",""
"46"," Latvia","","","99.7","","","99.9","",""
"161"," Lesotho","","","86.3","","","","",""
"94"," Libya","","","","","","","89.9",""
"37"," Lithuania","","","","","","99.8","",""
"154"," Madagascar","","","70.7","","","","",""
"173"," Malawi","","","","","61.3","","",""
"62"," Malaysia","","","88.7","","93.1","","",""
"104"," Maldives","96.0","96.3","96.3","","","","",""
"179"," Mali","","","","","31.1","33.6","",""
"37"," Malta","","87.9","","92.4","","","",""
"156"," Mauritania","","","51.2","","","","",""
"63"," Mauritius","79.9","","84.3","","","89.3","",""
"74"," Mexico","87.6","","90.5","91.6","93.1","93.5","94.2",""
"107"," Moldova (Republic of)","","","96.7","","","","99.1",""
"90"," Mongolia","","","97.8","","98.3","","",""
"49"," Montenegro","","","","","","98.4","",""
"126"," Morocco","","","","","","67.1","",""
"148"," Myanmar","","","89.9","","","","92.6",""
"145"," Nepal","","","","","","57.4","",""
"125"," Nicaragua","","","","78.0","","","",""
"188"," Niger","","","","28.7","","","15.5",""
"52"," Oman","","","","","86.9","","",""
"147"," Pakistan","","","","49.9","55.4","54.7","",""
"60"," Palau","","","","","","","","99.5"
"113"," Palestine, State of","","","","","94.9","95.3","95.9",""
"60"," Panama","88.8","","91.9","","94.1","","",""
"158"," Papua New Guinea","","","57.3","","","","62.9",""
"112"," Paraguay","","","","","93.9","","",""
"84"," Peru","","","","87.9","","","93.8",""
"115"," Philippines","93.6","","92.6","","","","",""
"36"," Poland","","","","","","","99.7",""
"43"," Portugal","","","","","","94.5","",""
"32"," Qatar","","","","","96.3","96.4","96.7",""
"52"," Romania","","","","","","98.6","",""
"50"," Russian Federation","","","","","99.7","","",""
"163"," Rwanda","","","64.9","","65.9","","",""
"105"," Samoa","","","","","","","98.9",""
"39"," Saudi Arabia","","","79.4","","","","","94.4"
"170"," Senegal","","","","","","52.1","",""
"66"," Serbia","","","","","","","98.2",""
"64"," Seychelles","","","","","","","91.8",""
"181"," Sierra Leone","","","","","","","44.5",""
"11"," Singapore","89.1","","92.5","","95.9","96.2","96.4",""
"25"," Slovenia","","","","","","","99.7",""
"116"," South Africa","","","","","92.9","93.1","93.7",""
"26"," Spain","","","","97.8","97.7","97.8","97.9",""
"73"," Sri Lanka","","","","","91.2","","",""
"167"," Sudan","","","61.3","","","","73.4",""
"103"," Suriname","","","","","94.7","","",""
"150"," Swaziland","","","81.7","","83.1","","",""
"134"," Syrian Arab Republic","","","","","","","85.1",""
"129"," Tajikistan","","","99.5","","","","99.7",""
"151"," Tanzania (United Republic of)","","","","","67.8","","",""
"93"," Thailand","","","92.6","93.5","96.4","","",""
"81"," The former Yugoslav Republic of Macedonia","","","","","","","97.5",""
"133"," Timor-Leste","","","","","58.3","","",""
"162"," Togo","","","53.2","","","60.4","",""
"100"," Tonga","","","","","","99.4","",""
"64"," Trinidad and Tobago","96.9","","","","","","98.8",""
"96"," Tunisia","","","","","79.1","79.7","",""
"72"," Turkey","79.2","","","88.2","92.7","94.1","94.9",""
"109"," Turkmenistan","","98.8","","","","","99.6",""
"163"," Uganda","","","","","73.2","","",""
"81"," Ukraine","","","","","","","99.7",""
"41"," United Arab Emirates","","","","90.0","","","",""
"52"," Uruguay","","","","","98.1","98.3","98.4",""
"114"," Uzbekistan","","","98.6","","","","99.5",""
"134"," Vanuatu","","","","","","","83.4",""
"71"," Venezuela (Bolivarian Republic of)","89.8","","","","","","",""
"116"," Viet Nam","","","90.2","","","","",""
"160"," Yemen","","","","","","","66.4",""
"139"," Zambia","65.0","","","","","","",""
"155"," Zimbabwe","","","","","","83.6","",""
""
