"Angola"
"Life expectancy at birth","52.3"
"Adult mortality rate, female (per 1,000 people)","322"
"Adult mortality rate, male (per 1,000 people)","372"
"Deaths due to malaria (per 100,000 people)","100.9"
"Deaths due to tuberculosis (per 100,000 people)","42"
"HIV prevalence, adult (% ages 15-49), total","2.4"
"Infant mortality rate (per 1,000 live births)","101.6"
"Infants lacking immunization, DTP (% of one-year-olds)","3"
"Infants lacking immunization, measles (% of one-year-olds)","9"
"Public health expenditure (% of GDP)","3.8"
"Under-five mortality rate (per 1,000 live births)","167.4"
"Expected Years of Schooling (years)","11.4"
"Adult literacy rate (% ages 15 and older)","70.6"
"Gross enrolment ratio: pre-primary (% of preschool-age children)","86.5"
"Gross enrolment ratio, primary (% of primary school-age population)","140.5"
"Gross enrolment ratio, secondary (% of secondary school-age population)","31.5"
"Gross enrolment ratio, tertiary (% of tertiary school-age population)","7.5"
"Mean years of schooling (years)","4.7"
"Population with at least some secondary education (% aged 25 and above)","n.a."
"Primary school dropout rate (% of primary school cohort)","68.1"
"Primary school teachers trained to teach","47.5"
"Public expenditure on education (% of GDP)","3.5"
"Pupil-teacher ratio, primary school (number of pupils per teacher)","42.5"
"Gross national income (GNI) per capita (2011 PPP$)","6,821.7"
"Consumer price index (2010=100)","136.1"
"Domestic credit provided by financial sector (% of GDP)","18.9"
"Domestic food price level index","7.2"
"Domestic food price level volatility index","13.7"
"External debt stock (% of GNI)","22"
"Gross domestic product (GDP) per capita (2011 PPP $)","7,488"
"Gross domestic product (GDP), total (2011 PPP $ billions)","160.8"
"Gross fixed capital formation (% of GDP)","14.7"
"Inequality-adjusted HDI (IHDI)","0.335"
"Coefficient of human inequality","36.6"
"Income inequality, Gini coefficient","42.7"
"Income inequality, Palma ratio","2.2"
"Income inequality, Quintile ratio","9"
"Inequality in education (%)","34.6"
"Inequality in income (%)","28.9"
"Inequality in life expectancy (%)","46.2"
"Inequality-adjusted education index","0.31"
"Inequality-adjusted income index","0.453"
"Inequality-adjusted life expectancy index","0.267"
"Overall loss in HDI due to inequality (%)","37"
"Gender Development Index (GDI)","n.a."
"Adolescent birth rate (births per 1,000 women ages 15-19)","170.2"
"Estimated gross national income per capita, female (2011 PPP$)","5,496.8"
"Estimated gross national income per capita, male (2011 PPP$)","8,168.9"
"Expected years of schooling, female (years)","8.7"
"Expected years of schooling, male (years)","14"
"Gender Inequality Index (GII)","n.a."
"Human Development Index (HDI), female","n.a."
"Human Development Index (HDI), male","n.a."
"Labour force participation rate, female (% ages 15 and older)","63.3"
"Labour force participation rate, male (% ages 15 and older)","76.9"
"Life expectancy at birth, female (years)","53.8"
"Life expectancy at birth, male (years)","50.8"
"Maternal mortality ratio (deaths per 100,000 live births)","460"
"Mean years of schooling, female (years)","n.a."
"Mean years of schooling, male (years)","n.a."
"Population with at least some secondary education, female (% ages 25 and older)","n.a."
"Population with at least some secondary education, male (% ages 25 and older)","n.a."
"Share of seats in parliament (% held by women)","36.8"
"Multidimensional Poverty Index (MPI), HDRO specifications","n.a."
"Population in multidimensional poverty (%)","n.a."
"Population in multidimensional poverty, headcount (thousands)","n.a."
"Population in multidimensional poverty, intensity of deprivation (%)","n.a."
"Population in severe multidimensional poverty (%)","n.a."
"Population living below income poverty line, PPP $1.25 a day (%)","43.4"
"Population near multidimensional poverty (%)","n.a."
"Working poor at PPP$2 a day (% of total employment)","56.4"
"Employment to population ratio (% ages 15 and older)","65.2"
"Child labour (% of ages 5 to 14)","23.5"
"Domestic workers, female (% of total employment)","n.a."
"Domestic workers, male (% of total employment)","n.a."
"Employment in agriculture (% of total employment)","n.a."
"Employment in services (% of total employment)","n.a."
"Labour force participation rate (% ages 15 and older)","70"
"Labour force with tertiary education (%)","n.a."
"Long term unemployment rate (% of the labour force)","n.a."
"Mandatory paid maternity leave (days)","90"
"Total unemployment rate (% of labour force)","n.a."
"Vulnerable employment (% of total employment)","n.a."
"Youth not in school or employment (% ages 15-24)","n.a."
"Youth unemployment rate (% of labour force ages 15-24)","n.a."
"Homicide rate (per 100,000 people)","10"
"Birth registration (% under age five)","36"
"Homeless people due to natural disaster (average annual per million people)","520.1"
"Old age pension recipients (% of statutory pension age population)","14.5"
"Prison population (per 100,000 people)","105"
"Refugees by country of origin (thousands)","10.3"
"Suicide rate, female (per 100,000 people)","7.3"
"Suicide rate, male (per 100,000 people)","20.7"
"Violence against women ever experienced (%)","n.a."
"Exports and Imports (% of GDP)","96.5"
"Foreign direct investment, net inflows (% of GDP)","-5.7"
"Net official development assistance received (% of GNI)","0.3"
"Private capital flows (% of GDP)","10.7"
"Remittances, inflows (% of GDP)","0"
"Mobile phone subscriptions (per 100 people)","63.5"
"International inbound tourists (thousands)","650"
"International student mobility (% of total tertiary enrolment)","n.a."
"Internet users (% of population)","21.3"
"Net migration rate (per 1,000 people)","0.6"
"Carbon dioxide emissions per capita (tonnes)","1.5"
"Electrification rate, rural (% of rural population)","6"
"Forest area (% of total land area)","46.7"
"Fresh water withdrawals (% of total renewable water resources)","0.5"
"Impact of natural disasters, population affected (average annual per million people)","13,473.1"
"Natural resource depletion (% of GNI)","31"
"Population living on degraded land (%)","3.3"
"Primary energy supply, fossil fuels (% of total)","39.3"
"Population, total (millions)","22.1"
"Dependency ratio, old age (65 and older) (per 100 people ages 15-64)","4.8"
"Dependency ratio, young age (0-14) (per 100 people ages 15-64)","92.9"
"Population, ages 65 and older (millions)","0.5"
"Median age (years)","16.4"
"Population, under age 5 (millions)","4.1"
"Population, urban (%)","61.5"
"Sex ratio at birth (male to female births)","1.03"
