"Cambodia"
"Life expectancy at birth","68.4"
"Adult mortality rate, female (per 1,000 people)","157"
"Adult mortality rate, male (per 1,000 people)","210"
"Deaths due to malaria (per 100,000 people)","3.7"
"Deaths due to tuberculosis (per 100,000 people)","63"
"HIV prevalence, adult (% ages 15-49), total","0.7"
"Infant mortality rate (per 1,000 live births)","32.5"
"Infants lacking immunization, DTP (% of one-year-olds)","5"
"Infants lacking immunization, measles (% of one-year-olds)","10"
"Public health expenditure (% of GDP)","7.5"
"Under-five mortality rate (per 1,000 live births)","37.9"
"Expected Years of Schooling (years)","10.9"
"Adult literacy rate (% ages 15 and older)","73.9"
"Gross enrolment ratio: pre-primary (% of preschool-age children)","15.3"
"Gross enrolment ratio, primary (% of primary school-age population)","124.5"
"Gross enrolment ratio, secondary (% of secondary school-age population)","45"
"Gross enrolment ratio, tertiary (% of tertiary school-age population)","15.8"
"Mean years of schooling (years)","4.4"
"Population with at least some secondary education (% aged 25 and above)","15.5"
"Primary school dropout rate (% of primary school cohort)","35.8"
"Primary school teachers trained to teach","100"
"Public expenditure on education (% of GDP)","2.6"
"Pupil-teacher ratio, primary school (number of pupils per teacher)","46.9"
"Gross national income (GNI) per capita (2011 PPP$)","2,948.9"
"Consumer price index (2010=100)","111.8"
"Domestic credit provided by financial sector (% of GDP)","40.3"
"Domestic food price level index","7.8"
"Domestic food price level volatility index","4.7"
"External debt stock (% of GNI)","44.4"
"Gross domestic product (GDP) per capita (2011 PPP $)","2,943.5"
"Gross domestic product (GDP), total (2011 PPP $ billions)","44.6"
"Gross fixed capital formation (% of GDP)","18.1"
"Inequality-adjusted HDI (IHDI)","0.418"
"Coefficient of human inequality","24.6"
"Income inequality, Gini coefficient","31.8"
"Income inequality, Palma ratio","1.3"
"Income inequality, Quintile ratio","4.6"
"Inequality in education (%)","28.3"
"Inequality in income (%)","20.3"
"Inequality in life expectancy (%)","25.3"
"Inequality-adjusted education index","0.321"
"Inequality-adjusted income index","0.407"
"Inequality-adjusted life expectancy index","0.557"
"Overall loss in HDI due to inequality (%)","24.7"
"Gender Development Index (GDI)","0.89"
"Adolescent birth rate (births per 1,000 women ages 15-19)","44.3"
"Estimated gross national income per capita, female (2011 PPP$)","2,525.7"
"Estimated gross national income per capita, male (2011 PPP$)","3,393.1"
"Expected years of schooling, female (years)","10.3"
"Expected years of schooling, male (years)","11.5"
"Gender Inequality Index (GII)","0.477"
"Human Development Index (HDI), female","0.519"
"Human Development Index (HDI), male","0.584"
"Labour force participation rate, female (% ages 15 and older)","78.8"
"Labour force participation rate, male (% ages 15 and older)","86.5"
"Life expectancy at birth, female (years)","70.3"
"Life expectancy at birth, male (years)","66.2"
"Maternal mortality ratio (deaths per 100,000 live births)","170"
"Mean years of schooling, female (years)","3.2"
"Mean years of schooling, male (years)","5.4"
"Population with at least some secondary education, female (% ages 25 and older)","9.9"
"Population with at least some secondary education, male (% ages 25 and older)","22.9"
"Share of seats in parliament (% held by women)","19"
"Multidimensional Poverty Index (MPI), HDRO specifications","0.211"
"Population in multidimensional poverty (%)","46.8"
"Population in multidimensional poverty, headcount (thousands)","6,721"
"Population in multidimensional poverty, intensity of deprivation (%)","45.1"
"Population in severe multidimensional poverty (%)","16.4"
"Population living below income poverty line, PPP $1.25 a day (%)","10.1"
"Population near multidimensional poverty (%)","20.4"
"Working poor at PPP$2 a day (% of total employment)","40.2"
"Employment to population ratio (% ages 15 and older)","82.3"
"Child labour (% of ages 5 to 14)","18.3"
"Domestic workers, female (% of total employment)","0.8"
"Domestic workers, male (% of total employment)","0.9"
"Employment in agriculture (% of total employment)","51"
"Employment in services (% of total employment)","30.4"
"Labour force participation rate (% ages 15 and older)","82.5"
"Labour force with tertiary education (%)","n.a."
"Long term unemployment rate (% of the labour force)","n.a."
"Mandatory paid maternity leave (days)","90"
"Total unemployment rate (% of labour force)","0.3"
"Vulnerable employment (% of total employment)","64.1"
"Youth not in school or employment (% ages 15-24)","79.2"
"Youth unemployment rate (% of labour force ages 15-24)","0.5"
"Homicide rate (per 100,000 people)","6.5"
"Birth registration (% under age five)","62"
"Homeless people due to natural disaster (average annual per million people)","0"
"Old age pension recipients (% of statutory pension age population)","5"
"Prison population (per 100,000 people)","106"
"Refugees by country of origin (thousands)","13.6"
"Suicide rate, female (per 100,000 people)","6.5"
"Suicide rate, male (per 100,000 people)","12.6"
"Violence against women ever experienced (%)","22.3"
"Exports and Imports (% of GDP)","139.5"
"Foreign direct investment, net inflows (% of GDP)","8.8"
"Net official development assistance received (% of GNI)","5.6"
"Private capital flows (% of GDP)","-8.4"
"Remittances, inflows (% of GDP)","1.2"
"Mobile phone subscriptions (per 100 people)","155.1"
"International inbound tourists (thousands)","4,210"
"International student mobility (% of total tertiary enrolment)","-2.7"
"Internet users (% of population)","9"
"Net migration rate (per 1,000 people)","-2.3"
"Carbon dioxide emissions per capita (tonnes)","0.3"
"Electrification rate, rural (% of rural population)","18.8"
"Forest area (% of total land area)","55.7"
"Fresh water withdrawals (% of total renewable water resources)","0.5"
"Impact of natural disasters, population affected (average annual per million people)","28,828"
"Natural resource depletion (% of GNI)","2.5"
"Population living on degraded land (%)","39.3"
"Primary energy supply, fossil fuels (% of total)","26.2"
"Population, total (millions)","15.4"
"Dependency ratio, old age (65 and older) (per 100 people ages 15-64)","8.9"
"Dependency ratio, young age (0-14) (per 100 people ages 15-64)","49"
"Population, ages 65 and older (millions)","0.8"
"Median age (years)","25"
"Population, under age 5 (millions)","1.8"
"Population, urban (%)","20.5"
"Sex ratio at birth (male to female births)","1.05"
