"China"
"Life expectancy at birth","75.8"
"Adult mortality rate, female (per 1,000 people)","76"
"Adult mortality rate, male (per 1,000 people)","103"
"Deaths due to malaria (per 100,000 people)","0"
"Deaths due to tuberculosis (per 100,000 people)","3.2"
"HIV prevalence, adult (% ages 15-49), total","n.a."
"Infant mortality rate (per 1,000 live births)","10.9"
"Infants lacking immunization, DTP (% of one-year-olds)","1"
"Infants lacking immunization, measles (% of one-year-olds)","1"
"Public health expenditure (% of GDP)","5.6"
"Under-five mortality rate (per 1,000 live births)","12.7"
"Expected Years of Schooling (years)","13.1"
"Adult literacy rate (% ages 15 and older)","95.1"
"Gross enrolment ratio: pre-primary (% of preschool-age children)","69.9"
"Gross enrolment ratio, primary (% of primary school-age population)","127.9"
"Gross enrolment ratio, secondary (% of secondary school-age population)","89"
"Gross enrolment ratio, tertiary (% of tertiary school-age population)","26.7"
"Mean years of schooling (years)","7.5"
"Population with at least some secondary education (% aged 25 and above)","65.3"
"Primary school dropout rate (% of primary school cohort)","n.a."
"Primary school teachers trained to teach","n.a."
"Public expenditure on education (% of GDP)","n.a."
"Pupil-teacher ratio, primary school (number of pupils per teacher)","18.2"
"Gross national income (GNI) per capita (2011 PPP$)","12,547"
"Consumer price index (2010=100)","111.1"
"Domestic credit provided by financial sector (% of GDP)","163"
"Domestic food price level index","3.3"
"Domestic food price level volatility index","8.1"
"External debt stock (% of GNI)","9.5"
"Gross domestic product (GDP) per capita (2011 PPP $)","11,524.6"
"Gross domestic product (GDP), total (2011 PPP $ billions)","15,643.2"
"Gross fixed capital formation (% of GDP)","47.3"
"Inequality-adjusted HDI (IHDI)","n.a."
"Coefficient of human inequality","n.a."
"Income inequality, Gini coefficient","37"
"Income inequality, Palma ratio","2.1"
"Income inequality, Quintile ratio","10.1"
"Inequality in education (%)","n.a."
"Inequality in income (%)","29.5"
"Inequality in life expectancy (%)","9.8"
"Inequality-adjusted education index","n.a."
"Inequality-adjusted income index","0.514"
"Inequality-adjusted life expectancy index","0.774"
"Overall loss in HDI due to inequality (%)","n.a."
"Gender Development Index (GDI)","0.943"
"Adolescent birth rate (births per 1,000 women ages 15-19)","8.6"
"Estimated gross national income per capita, female (2011 PPP$)","10,128.1"
"Estimated gross national income per capita, male (2011 PPP$)","14,795.4"
"Expected years of schooling, female (years)","13.2"
"Expected years of schooling, male (years)","12.9"
"Gender Inequality Index (GII)","0.191"
"Human Development Index (HDI), female","0.705"
"Human Development Index (HDI), male","0.747"
"Labour force participation rate, female (% ages 15 and older)","63.9"
"Labour force participation rate, male (% ages 15 and older)","78.3"
"Life expectancy at birth, female (years)","77.3"
"Life expectancy at birth, male (years)","74.3"
"Maternal mortality ratio (deaths per 100,000 live births)","32"
"Mean years of schooling, female (years)","6.9"
"Mean years of schooling, male (years)","8.2"
"Population with at least some secondary education, female (% ages 25 and older)","58.7"
"Population with at least some secondary education, male (% ages 25 and older)","71.9"
"Share of seats in parliament (% held by women)","23.6"
"Multidimensional Poverty Index (MPI), HDRO specifications","0.023"
"Population in multidimensional poverty (%)","5.2"
"Population in multidimensional poverty, headcount (thousands)","71,939"
"Population in multidimensional poverty, intensity of deprivation (%)","43.3"
"Population in severe multidimensional poverty (%)","1"
"Population living below income poverty line, PPP $1.25 a day (%)","6.3"
"Population near multidimensional poverty (%)","22.7"
"Working poor at PPP$2 a day (% of total employment)","20.4"
"Employment to population ratio (% ages 15 and older)","68"
"Child labour (% of ages 5 to 14)","n.a."
"Domestic workers, female (% of total employment)","n.a."
"Domestic workers, male (% of total employment)","n.a."
"Employment in agriculture (% of total employment)","34.8"
"Employment in services (% of total employment)","35.7"
"Labour force participation rate (% ages 15 and older)","71.3"
"Labour force with tertiary education (%)","n.a."
"Long term unemployment rate (% of the labour force)","n.a."
"Mandatory paid maternity leave (days)","98"
"Total unemployment rate (% of labour force)","2.9"
"Vulnerable employment (% of total employment)","n.a."
"Youth not in school or employment (% ages 15-24)","n.a."
"Youth unemployment rate (% of labour force ages 15-24)","n.a."
"Homicide rate (per 100,000 people)","1"
"Birth registration (% under age five)","n.a."
"Homeless people due to natural disaster (average annual per million people)","212.3"
"Old age pension recipients (% of statutory pension age population)","74.4"
"Prison population (per 100,000 people)","121"
"Refugees by country of origin (thousands)","205"
"Suicide rate, female (per 100,000 people)","8.7"
"Suicide rate, male (per 100,000 people)","7.1"
"Violence against women ever experienced (%)","n.a."
"Exports and Imports (% of GDP)","50.3"
"Foreign direct investment, net inflows (% of GDP)","3.8"
"Net official development assistance received (% of GNI)","0"
"Private capital flows (% of GDP)","-2.7"
"Remittances, inflows (% of GDP)","0.4"
"Mobile phone subscriptions (per 100 people)","92.3"
"International inbound tourists (thousands)","55,700"
"International student mobility (% of total tertiary enrolment)","-1.8"
"Internet users (% of population)","49.3"
"Net migration rate (per 1,000 people)","-0.2"
"Carbon dioxide emissions per capita (tonnes)","6.7"
"Electrification rate, rural (% of rural population)","100"
"Forest area (% of total land area)","22.6"
"Fresh water withdrawals (% of total renewable water resources)","19.5"
"Impact of natural disasters, population affected (average annual per million people)","73,314.2"
"Natural resource depletion (% of GNI)","4.2"
"Population living on degraded land (%)","8.6"
"Primary energy supply, fossil fuels (% of total)","88.3"
"Population, total (millions)","1,393.8"
"Dependency ratio, old age (65 and older) (per 100 people ages 15-64)","13.1"
"Dependency ratio, young age (0-14) (per 100 people ages 15-64)","25.1"
"Population, ages 65 and older (millions)","127.2"
"Median age (years)","36"
"Population, under age 5 (millions)","91"
"Population, urban (%)","54.4"
"Sex ratio at birth (male to female births)","1.16"
