"Cuba"
"Life expectancy at birth","79.4"
"Adult mortality rate, female (per 1,000 people)","73"
"Adult mortality rate, male (per 1,000 people)","115"
"Deaths due to malaria (per 100,000 people)","n.a."
"Deaths due to tuberculosis (per 100,000 people)","0.3"
"HIV prevalence, adult (% ages 15-49), total","0.2"
"Infant mortality rate (per 1,000 live births)","5"
"Infants lacking immunization, DTP (% of one-year-olds)","2"
"Infants lacking immunization, measles (% of one-year-olds)","1"
"Public health expenditure (% of GDP)","8.8"
"Under-five mortality rate (per 1,000 live births)","6.2"
"Expected Years of Schooling (years)","13.8"
"Adult literacy rate (% ages 15 and older)","99.8"
"Gross enrolment ratio: pre-primary (% of preschool-age children)","98.3"
"Gross enrolment ratio, primary (% of primary school-age population)","97.5"
"Gross enrolment ratio, secondary (% of secondary school-age population)","92.1"
"Gross enrolment ratio, tertiary (% of tertiary school-age population)","47.8"
"Mean years of schooling (years)","11.5"
"Population with at least some secondary education (% aged 25 and above)","76.5"
"Primary school dropout rate (% of primary school cohort)","4.2"
"Primary school teachers trained to teach","100"
"Public expenditure on education (% of GDP)","12.8"
"Pupil-teacher ratio, primary school (number of pupils per teacher)","9.1"
"Gross national income (GNI) per capita (2011 PPP$)","7,301"
"Consumer price index (2010=100)","n.a."
"Domestic credit provided by financial sector (% of GDP)","n.a."
"Domestic food price level index","n.a."
"Domestic food price level volatility index","n.a."
"External debt stock (% of GNI)","n.a."
"Gross domestic product (GDP) per capita (2011 PPP $)","18,796.2"
"Gross domestic product (GDP), total (2011 PPP $ billions)","211.9"
"Gross fixed capital formation (% of GDP)","12.2"
"Inequality-adjusted HDI (IHDI)","n.a."
"Coefficient of human inequality","n.a."
"Income inequality, Gini coefficient","n.a."
"Income inequality, Palma ratio","n.a."
"Income inequality, Quintile ratio","n.a."
"Inequality in education (%)","11.3"
"Inequality in income (%)","n.a."
"Inequality in life expectancy (%)","5.1"
"Inequality-adjusted education index","0.681"
"Inequality-adjusted income index","n.a."
"Inequality-adjusted life expectancy index","0.867"
"Overall loss in HDI due to inequality (%)","n.a."
"Gender Development Index (GDI)","0.954"
"Adolescent birth rate (births per 1,000 women ages 15-19)","43.1"
"Estimated gross national income per capita, female (2011 PPP$)","4,912.1"
"Estimated gross national income per capita, male (2011 PPP$)","9,665.1"
"Expected years of schooling, female (years)","14.4"
"Expected years of schooling, male (years)","13.3"
"Gender Inequality Index (GII)","0.356"
"Human Development Index (HDI), female","0.747"
"Human Development Index (HDI), male","0.783"
"Labour force participation rate, female (% ages 15 and older)","43.4"
"Labour force participation rate, male (% ages 15 and older)","70"
"Life expectancy at birth, female (years)","81.5"
"Life expectancy at birth, male (years)","77.4"
"Maternal mortality ratio (deaths per 100,000 live births)","80"
"Mean years of schooling, female (years)","11.4"
"Mean years of schooling, male (years)","11.6"
"Population with at least some secondary education, female (% ages 25 and older)","74.3"
"Population with at least some secondary education, male (% ages 25 and older)","78.8"
"Share of seats in parliament (% held by women)","48.9"
"Multidimensional Poverty Index (MPI), HDRO specifications","n.a."
"Population in multidimensional poverty (%)","n.a."
"Population in multidimensional poverty, headcount (thousands)","n.a."
"Population in multidimensional poverty, intensity of deprivation (%)","n.a."
"Population in severe multidimensional poverty (%)","n.a."
"Population living below income poverty line, PPP $1.25 a day (%)","n.a."
"Population near multidimensional poverty (%)","n.a."
"Working poor at PPP$2 a day (% of total employment)","5.9"
"Employment to population ratio (% ages 15 and older)","54.9"
"Child labour (% of ages 5 to 14)","n.a."
"Domestic workers, female (% of total employment)","n.a."
"Domestic workers, male (% of total employment)","n.a."
"Employment in agriculture (% of total employment)","19.7"
"Employment in services (% of total employment)","63.2"
"Labour force participation rate (% ages 15 and older)","56.7"
"Labour force with tertiary education (%)","15.9"
"Long term unemployment rate (% of the labour force)","n.a."
"Mandatory paid maternity leave (days)","n.a."
"Total unemployment rate (% of labour force)","3.2"
"Vulnerable employment (% of total employment)","n.a."
"Youth not in school or employment (% ages 15-24)","n.a."
