"Czech Republic"
"Life expectancy at birth","78.6"
"Adult mortality rate, female (per 1,000 people)","57"
"Adult mortality rate, male (per 1,000 people)","127"
"Deaths due to malaria (per 100,000 people)","n.a."
"Deaths due to tuberculosis (per 100,000 people)","0.4"
"HIV prevalence, adult (% ages 15-49), total","0.1"
"Infant mortality rate (per 1,000 live births)","2.9"
"Infants lacking immunization, DTP (% of one-year-olds)","1"
"Infants lacking immunization, measles (% of one-year-olds)","1"
"Public health expenditure (% of GDP)","7.2"
"Under-five mortality rate (per 1,000 live births)","3.6"
"Expected Years of Schooling (years)","16.4"
"Adult literacy rate (% ages 15 and older)","n.a."
"Gross enrolment ratio: pre-primary (% of preschool-age children)","103"
"Gross enrolment ratio, primary (% of primary school-age population)","100.4"
"Gross enrolment ratio, secondary (% of secondary school-age population)","96.6"
"Gross enrolment ratio, tertiary (% of tertiary school-age population)","64.2"
"Mean years of schooling (years)","12.3"
"Population with at least some secondary education (% aged 25 and above)","99.8"
"Primary school dropout rate (% of primary school cohort)","0.7"
"Primary school teachers trained to teach","n.a."
"Public expenditure on education (% of GDP)","4.5"
"Pupil-teacher ratio, primary school (number of pupils per teacher)","19"
"Gross national income (GNI) per capita (2011 PPP$)","26,660.3"
"Consumer price index (2010=100)","106.8"
"Domestic credit provided by financial sector (% of GDP)","67"
"Domestic food price level index","2.3"
"Domestic food price level volatility index","10.7"
"External debt stock (% of GNI)","n.a."
"Gross domestic product (GDP) per capita (2011 PPP $)","27,959.1"
"Gross domestic product (GDP), total (2011 PPP $ billions)","294.2"
"Gross fixed capital formation (% of GDP)","24.9"
"Inequality-adjusted HDI (IHDI)","0.823"
"Coefficient of human inequality","5.3"
"Income inequality, Gini coefficient","26.4"
"Income inequality, Palma ratio","0.9"
"Income inequality, Quintile ratio","3.9"
"Inequality in education (%)","1.4"
"Inequality in income (%)","11"
"Inequality in life expectancy (%)","3.7"
"Inequality-adjusted education index","0.854"
"Inequality-adjusted income index","0.751"
"Inequality-adjusted life expectancy index","0.868"
"Overall loss in HDI due to inequality (%)","5.4"
"Gender Development Index (GDI)","0.98"
"Adolescent birth rate (births per 1,000 women ages 15-19)","4.9"
"Estimated gross national income per capita, female (2011 PPP$)","19,929.2"
"Estimated gross national income per capita, male (2011 PPP$)","33,603.9"
"Expected years of schooling, female (years)","16.9"
"Expected years of schooling, male (years)","15.8"
"Gender Inequality Index (GII)","0.091"
"Human Development Index (HDI), female","0.859"
"Human Development Index (HDI), male","0.877"
"Labour force participation rate, female (% ages 15 and older)","51.1"
"Labour force participation rate, male (% ages 15 and older)","68.3"
"Life expectancy at birth, female (years)","81.5"
"Life expectancy at birth, male (years)","75.7"
"Maternal mortality ratio (deaths per 100,000 live births)","5"
"Mean years of schooling, female (years)","12.1"
"Mean years of schooling, male (years)","12.5"
"Population with at least some secondary education, female (% ages 25 and older)","99.9"
"Population with at least some secondary education, male (% ages 25 and older)","99.7"
"Share of seats in parliament (% held by women)","18.9"
"Multidimensional Poverty Index (MPI), HDRO specifications","n.a."
"Population in multidimensional poverty (%)","n.a."
"Population in multidimensional poverty, headcount (thousands)","n.a."
"Population in multidimensional poverty, intensity of deprivation (%)","n.a."
"Population in severe multidimensional poverty (%)","n.a."
"Population living below income poverty line, PPP $1.25 a day (%)","0"
"Population near multidimensional poverty (%)","n.a."
"Working poor at PPP$2 a day (% of total employment)","n.a."
"Employment to population ratio (% ages 15 and older)","55.4"
"Child labour (% of ages 5 to 14)","n.a."
"Domestic workers, female (% of total employment)","0.1"
"Domestic workers, male (% of total employment)","0.1"
"Employment in agriculture (% of total employment)","3.1"
"Employment in services (% of total employment)","58.8"
"Labour force participation rate (% ages 15 and older)","59.5"
"Labour force with tertiary education (%)","21"
"Long term unemployment rate (% of the labour force)","3"
"Mandatory paid maternity leave (days)","196"
"Total unemployment rate (% of labour force)","7"
"Vulnerable employment (% of total employment)","14.5"
"Youth not in school or employment (% ages 15-24)","9.1"
"Youth unemployment rate (% of labour force ages 15-24)","19"
"Homicide rate (per 100,000 people)","1"
"Birth registration (% under age five)","100"
"Homeless people due to natural disaster (average annual per million people)","0"
"Old age pension recipients (% of statutory pension age population)","100"
"Prison population (per 100,000 people)","154"
"Refugees by country of origin (thousands)","1.3"
"Suicide rate, female (per 100,000 people)","3.9"
"Suicide rate, male (per 100,000 people)","21.5"
"Violence against women ever experienced (%)","58"
"Exports and Imports (% of GDP)","148.6"
"Foreign direct investment, net inflows (% of GDP)","2.4"
"Net official development assistance received (% of GNI)","n.a."
"Private capital flows (% of GDP)","-3.1"
"Remittances, inflows (% of GDP)","1.1"
"Mobile phone subscriptions (per 100 people)","130"
"International inbound tourists (thousands)","9,004"
"International student mobility (% of total tertiary enrolment)","6.5"
"Internet users (% of population)","79.7"
"Net migration rate (per 1,000 people)","3.8"
"Carbon dioxide emissions per capita (tonnes)","10.4"
"Electrification rate, rural (% of rural population)","100"
"Forest area (% of total land area)","34.5"
"Fresh water withdrawals (% of total renewable water resources)","12.9"
"Impact of natural disasters, population affected (average annual per million people)","12,572.1"
"Natural resource depletion (% of GNI)","0.2"
"Population living on degraded land (%)","4.2"
"Primary energy supply, fossil fuels (% of total)","76.9"
"Population, total (millions)","10.7"
"Dependency ratio, old age (65 and older) (per 100 people ages 15-64)","26.3"
"Dependency ratio, young age (0-14) (per 100 people ages 15-64)","23"
"Population, ages 65 and older (millions)","1.8"
"Median age (years)","40.9"
"Population, under age 5 (millions)","0.6"
"Population, urban (%)","73.4"
"Sex ratio at birth (male to female births)","1.06"
