"United States"
"Life expectancy at birth","79.1"
"Adult mortality rate, female (per 1,000 people)","76"
"Adult mortality rate, male (per 1,000 people)","128"
"Deaths due to malaria (per 100,000 people)","n.a."
"Deaths due to tuberculosis (per 100,000 people)","0.1"
"HIV prevalence, adult (% ages 15-49), total","n.a."
"Infant mortality rate (per 1,000 live births)","5.9"
"Infants lacking immunization, DTP (% of one-year-olds)","2"
"Infants lacking immunization, measles (% of one-year-olds)","9"
"Public health expenditure (% of GDP)","17.1"
"Under-five mortality rate (per 1,000 live births)","6.9"
"Expected Years of Schooling (years)","16.5"
"Adult literacy rate (% ages 15 and older)","n.a."
"Gross enrolment ratio: pre-primary (% of preschool-age children)","74.3"
"Gross enrolment ratio, primary (% of primary school-age population)","98.1"
"Gross enrolment ratio, secondary (% of secondary school-age population)","93.7"
"Gross enrolment ratio, tertiary (% of tertiary school-age population)","94.3"
"Mean years of schooling (years)","12.9"
"Population with at least some secondary education (% aged 25 and above)","95"
"Primary school dropout rate (% of primary school cohort)","n.a."
"Primary school teachers trained to teach","n.a."
"Public expenditure on education (% of GDP)","5.2"
"Pupil-teacher ratio, primary school (number of pupils per teacher)","14.4"
"Gross national income (GNI) per capita (2011 PPP$)","52,946.5"
"Consumer price index (2010=100)","106.8"
"Domestic credit provided by financial sector (% of GDP)","240.5"
"Domestic food price level index","1"
"Domestic food price level volatility index","0"
"External debt stock (% of GNI)","n.a."
"Gross domestic product (GDP) per capita (2011 PPP $)","51,340.5"
"Gross domestic product (GDP), total (2011 PPP $ billions)","16,230.2"
"Gross fixed capital formation (% of GDP)","19.3"
"Inequality-adjusted HDI (IHDI)","0.76"
"Coefficient of human inequality","15.7"
"Income inequality, Gini coefficient","41.1"
"Income inequality, Palma ratio","2"
"Income inequality, Quintile ratio","9.8"
"Inequality in education (%)","5.3"
"Inequality in income (%)","35.6"
"Inequality in life expectancy (%)","6.2"
"Inequality-adjusted education index","0.842"
"Inequality-adjusted income index","0.61"
"Inequality-adjusted life expectancy index","0.853"
"Overall loss in HDI due to inequality (%)","17"
"Gender Development Index (GDI)","0.995"
"Adolescent birth rate (births per 1,000 women ages 15-19)","31"
"Estimated gross national income per capita, female (2011 PPP$)","43,053.9"
"Estimated gross national income per capita, male (2011 PPP$)","63,157.5"
"Expected years of schooling, female (years)","17.2"
"Expected years of schooling, male (years)","15.7"
"Gender Inequality Index (GII)","0.28"
"Human Development Index (HDI), female","0.911"
"Human Development Index (HDI), male","0.916"
"Labour force participation rate, female (% ages 15 and older)","56.3"
"Labour force participation rate, male (% ages 15 and older)","68.9"
"Life expectancy at birth, female (years)","81.4"
"Life expectancy at birth, male (years)","76.7"
"Maternal mortality ratio (deaths per 100,000 live births)","28"
"Mean years of schooling, female (years)","13"
"Mean years of schooling, male (years)","12.9"
"Population with at least some secondary education, female (% ages 25 and older)","95.1"
"Population with at least some secondary education, male (% ages 25 and older)","94.8"
"Share of seats in parliament (% held by women)","19.4"
"Multidimensional Poverty Index (MPI), HDRO specifications","n.a."
"Population in multidimensional poverty (%)","n.a."
"Population in multidimensional poverty, headcount (thousands)","n.a."
"Population in multidimensional poverty, intensity of deprivation (%)","n.a."
"Population in severe multidimensional poverty (%)","n.a."
"Population living below income poverty line, PPP $1.25 a day (%)","n.a."
"Population near multidimensional poverty (%)","n.a."
"Working poor at PPP$2 a day (% of total employment)","n.a."
"Employment to population ratio (% ages 15 and older)","57.8"
"Child labour (% of ages 5 to 14)","n.a."
"Domestic workers, female (% of total employment)","0.9"
"Domestic workers, male (% of total employment)","0.1"
"Employment in agriculture (% of total employment)","1.6"
"Employment in services (% of total employment)","81.2"
"Labour force participation rate (% ages 15 and older)","62.5"
"Labour force with tertiary education (%)","61.9"
"Long term unemployment rate (% of the labour force)","1.9"
"Mandatory paid maternity leave (days)","n.a."
"Total unemployment rate (% of labour force)","8.1"
"Vulnerable employment (% of total employment)","n.a."
"Youth not in school or employment (% ages 15-24)","16.5"
"Youth unemployment rate (% of labour force ages 15-24)","13.4"
"Homicide rate (per 100,000 people)","4.7"
"Birth registration (% under age five)","100"
"Homeless people due to natural disaster (average annual per million people)","14.9"
"Old age pension recipients (% of statutory pension age population)","92.5"
"Prison population (per 100,000 people)","716"
"Refugees by country of origin (thousands)","4.8"
"Suicide rate, female (per 100,000 people)","5.2"
"Suicide rate, male (per 100,000 people)","19.4"
"Violence against women ever experienced (%)","35.6"
"Exports and Imports (% of GDP)","30"
"Foreign direct investment, net inflows (% of GDP)","1.8"
"Net official development assistance received (% of GNI)","n.a."
"Private capital flows (% of GDP)","0.7"
"Remittances, inflows (% of GDP)","0"
"Mobile phone subscriptions (per 100 people)","98.4"
"International inbound tourists (thousands)","69,800"
"International student mobility (% of total tertiary enrolment)","3.6"
"Internet users (% of population)","87.4"
"Net migration rate (per 1,000 people)","3.1"
"Carbon dioxide emissions per capita (tonnes)","17"
"Electrification rate, rural (% of rural population)","100"
"Forest area (% of total land area)","33.3"
"Fresh water withdrawals (% of total renewable water resources)","15.5"
"Impact of natural disasters, population affected (average annual per million people)","5,073.9"
"Natural resource depletion (% of GNI)","1"
"Population living on degraded land (%)","1.1"
"Primary energy supply, fossil fuels (% of total)","83.6"
"Population, total (millions)","322.6"
"Dependency ratio, old age (65 and older) (per 100 people ages 15-64)","22.2"
"Dependency ratio, young age (0-14) (per 100 people ages 15-64)","29.4"
"Population, ages 65 and older (millions)","46.2"
"Median age (years)","37.7"
"Population, under age 5 (millions)","21"
"Population, urban (%)","83.1"
"Sex ratio at birth (male to female births)","1.05"
