"Viet Nam"
"Life expectancy at birth","75.8"
"Adult mortality rate, female (per 1,000 people)","69"
"Adult mortality rate, male (per 1,000 people)","189"
"Deaths due to malaria (per 100,000 people)","0.2"
"Deaths due to tuberculosis (per 100,000 people)","20"
"HIV prevalence, adult (% ages 15-49), total","0.4"
"Infant mortality rate (per 1,000 live births)","19"
"Infants lacking immunization, DTP (% of one-year-olds)","17"
"Infants lacking immunization, measles (% of one-year-olds)","2"
"Public health expenditure (% of GDP)","6"
"Under-five mortality rate (per 1,000 live births)","23.8"
"Expected Years of Schooling (years)","11.9"
"Adult literacy rate (% ages 15 and older)","93.5"
"Gross enrolment ratio: pre-primary (% of preschool-age children)","81.8"
"Gross enrolment ratio, primary (% of primary school-age population)","104.9"
"Gross enrolment ratio, secondary (% of secondary school-age population)","n.a."
"Gross enrolment ratio, tertiary (% of tertiary school-age population)","24.6"
"Mean years of schooling (years)","7.5"
"Population with at least some secondary education (% aged 25 and above)","65"
"Primary school dropout rate (% of primary school cohort)","5.5"
"Primary school teachers trained to teach","99.6"
"Public expenditure on education (% of GDP)","6.3"
"Pupil-teacher ratio, primary school (number of pupils per teacher)","18.9"
"Gross national income (GNI) per capita (2011 PPP$)","5,091.8"
"Consumer price index (2010=100)","138"
"Domestic credit provided by financial sector (% of GDP)","108.2"
"Domestic food price level index","n.a."
"Domestic food price level volatility index","n.a."
"External debt stock (% of GNI)","40.2"
"Gross domestic product (GDP) per capita (2011 PPP $)","5,124.6"
"Gross domestic product (GDP), total (2011 PPP $ billions)","459.7"
"Gross fixed capital formation (% of GDP)","23.8"
"Inequality-adjusted HDI (IHDI)","0.549"
"Coefficient of human inequality","17.4"
"Income inequality, Gini coefficient","35.6"
"Income inequality, Palma ratio","1.5"
"Income inequality, Quintile ratio","6.1"
"Inequality in education (%)","18"
"Inequality in income (%)","22"
"Inequality in life expectancy (%)","12.1"
"Inequality-adjusted education index","0.474"
"Inequality-adjusted income index","0.463"
"Inequality-adjusted life expectancy index","0.755"
"Overall loss in HDI due to inequality (%)","17.5"
"Gender Development Index (GDI)","n.a."
"Adolescent birth rate (births per 1,000 women ages 15-19)","29"
"Estimated gross national income per capita, female (2011 PPP$)","4,624.4"
"Estimated gross national income per capita, male (2011 PPP$)","5,570.2"
"Expected years of schooling, female (years)","n.a."
"Expected years of schooling, male (years)","n.a."
"Gender Inequality Index (GII)","0.308"
"Human Development Index (HDI), female","n.a."
"Human Development Index (HDI), male","n.a."
"Labour force participation rate, female (% ages 15 and older)","73"
"Labour force participation rate, male (% ages 15 and older)","82.2"
"Life expectancy at birth, female (years)","80.5"
"Life expectancy at birth, male (years)","71"
"Maternal mortality ratio (deaths per 100,000 live births)","49"
"Mean years of schooling, female (years)","7"
"Mean years of schooling, male (years)","7.9"
"Population with at least some secondary education, female (% ages 25 and older)","59.4"
"Population with at least some secondary education, male (% ages 25 and older)","71.2"
"Share of seats in parliament (% held by women)","24.3"
"Multidimensional Poverty Index (MPI), HDRO specifications","0.026"
"Population in multidimensional poverty (%)","6.4"
"Population in multidimensional poverty, headcount (thousands)","5,796"
"Population in multidimensional poverty, intensity of deprivation (%)","40.7"
"Population in severe multidimensional poverty (%)","1.3"
"Population living below income poverty line, PPP $1.25 a day (%)","2.4"
"Population near multidimensional poverty (%)","8.7"
"Working poor at PPP$2 a day (% of total employment)","13.8"
"Employment to population ratio (% ages 15 and older)","75.9"
"Child labour (% of ages 5 to 14)","6.9"
"Domestic workers, female (% of total employment)","0.9"
"Domestic workers, male (% of total employment)","0.1"
"Employment in agriculture (% of total employment)","47.4"
"Employment in services (% of total employment)","31.5"
"Labour force participation rate (% ages 15 and older)","77.5"
"Labour force with tertiary education (%)","n.a."
"Long term unemployment rate (% of the labour force)","0.3"
"Mandatory paid maternity leave (days)","180"
"Total unemployment rate (% of labour force)","2"
"Vulnerable employment (% of total employment)","62.6"
"Youth not in school or employment (% ages 15-24)","9.3"
"Youth unemployment rate (% of labour force ages 15-24)","6"
"Homicide rate (per 100,000 people)","3.3"
"Birth registration (% under age five)","95"
"Homeless people due to natural disaster (average annual per million people)","948.1"
"Old age pension recipients (% of statutory pension age population)","34.5"
"Prison population (per 100,000 people)","145"
"Refugees by country of origin (thousands)","314.1"
"Suicide rate, female (per 100,000 people)","2.4"
"Suicide rate, male (per 100,000 people)","8"
"Violence against women ever experienced (%)","38.5"
"Exports and Imports (% of GDP)","163.7"
"Foreign direct investment, net inflows (% of GDP)","5.2"
"Net official development assistance received (% of GNI)","2.5"
"Private capital flows (% of GDP)","-4.9"
"Remittances, inflows (% of GDP)","6.3"
"Mobile phone subscriptions (per 100 people)","147.1"
"International inbound tourists (thousands)","7,572"
"International student mobility (% of total tertiary enrolment)","-2.2"
"Internet users (% of population)","48.3"
"Net migration rate (per 1,000 people)","-0.4"
"Carbon dioxide emissions per capita (tonnes)","2"
"Electrification rate, rural (% of rural population)","97.7"
"Forest area (% of total land area)","45.4"
"Fresh water withdrawals (% of total renewable water resources)","9.3"
"Impact of natural disasters, population affected (average annual per million people)","20,059.6"
"Natural resource depletion (% of GNI)","6.7"
"Population living on degraded land (%)","8"
"Primary energy supply, fossil fuels (% of total)","71"
"Population, total (millions)","92.5"
"Dependency ratio, old age (65 and older) (per 100 people ages 15-64)","9.6"
"Dependency ratio, young age (0-14) (per 100 people ages 15-64)","31.7"
"Population, ages 65 and older (millions)","6.2"
"Median age (years)","30.7"
"Population, under age 5 (millions)","7.1"
"Population, urban (%)","33"
"Sex ratio at birth (male to female births)","1.1"
