GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Per capita income in the past 12 months (in 2015 Inflation-adjusted dollars),Margin of Error; Per capita income in the past 12 months (in 2015 Inflation-adjusted dollars)
310M200US10180,10180,"Abilene, TX Metro Area",22320,12370
310M200US10380,10380,"Aguadilla-Isabela, PR Metro Area",10733,2976
310M200US10420,10420,"Akron, OH Metro Area",18324,1750
310M200US10500,10500,"Albany, GA Metro Area",15710,1433
310M200US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",20504,5251
310M200US10740,10740,"Albuquerque, NM Metro Area",29118,12534
310M200US10780,10780,"Alexandria, LA Metro Area",15969,2429
310M200US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",18421,2325
310M200US11020,11020,"Altoona, PA Metro Area",14587,5883
310M200US11100,11100,"Amarillo, TX Metro Area",13321,1980
310M200US11180,11180,"Ames, IA Metro Area",9337,5295
310M200US11260,11260,"Anchorage, AK Metro Area",22260,3610
310M200US11460,11460,"Ann Arbor, MI Metro Area",20595,1743
310M200US11500,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",14901,2418
310M200US11540,11540,"Appleton, WI Metro Area",6471,3987
310M200US11640,11640,"Arecibo, PR Metro Area",9244,4092
310M200US11700,11700,"Asheville, NC Metro Area",14657,1779
310M200US12020,12020,"Athens-Clarke County, GA Metro Area",15751,2846
310M200US12060,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",21642,426
310M200US12100,12100,"Atlantic City-Hammonton, NJ Metro Area",21649,3211
310M200US12220,12220,"Auburn-Opelika, AL Metro Area",16349,1836
310M200US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",16882,1034
310M200US12420,12420,"Austin-Round Rock, TX Metro Area",27622,4163
310M200US12540,12540,"Bakersfield, CA Metro Area",16104,2250
310M200US12580,12580,"Baltimore-Columbia-Towson, MD Metro Area",25075,912
310M200US12620,12620,"Bangor, ME Metro Area",8480,3945
310M200US12700,12700,"Barnstable Town, MA Metro Area",23624,5317
310M200US12940,12940,"Baton Rouge, LA Metro Area",18199,1028
310M200US12980,12980,"Battle Creek, MI Metro Area",13908,2392
310M200US13020,13020,"Bay City, MI Metro Area",11265,5199
310M200US13140,13140,"Beaumont-Port Arthur, TX Metro Area",18850,1512
310M200US13220,13220,"Beckley, WV Metro Area",15652,4559
310M200US13380,13380,"Bellingham, WA Metro Area",29938,17783
310M200US13740,13740,"Billings, MT Metro Area",15601,7333
310M200US13780,13780,"Binghamton, NY Metro Area",17601,4823
310M200US13820,13820,"Birmingham-Hoover, AL Metro Area",18693,804
310M200US13900,13900,"Bismarck, ND Metro Area",15603,7259
310M200US13980,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",18779,4908
310M200US14010,14010,"Bloomington, IL Metro Area",17630,4657
310M200US14020,14020,"Bloomington, IN Metro Area",20808,7357
310M200US14100,14100,"Bloomsburg-Berwick, PA Metro Area",5009,4416
310M200US14260,14260,"Boise City, ID Metro Area",18413,9659
310M200US14460,14460,"Boston-Cambridge-Newton, MA-NH Metro Area",23530,1219
310M200US14500,14500,"Boulder, CO Metro Area",20664,10090
310M200US14540,14540,"Bowling Green, KY Metro Area",18306,6216
310M200US14740,14740,"Bremerton-Silverdale, WA Metro Area",22837,4505
310M200US14860,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",22739,1733
310M200US15260,15260,"Brunswick, GA Metro Area",14247,2015
310M200US15380,15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",16440,1001
310M200US15500,15500,"Burlington, NC Metro Area",16328,1898
310M200US15540,15540,"Burlington-South Burlington, VT Metro Area",15047,3827
310M200US15680,15680,"California-Lexington Park, MD Metro Area",26286,4351
310M200US15940,15940,"Canton-Massillon, OH Metro Area",19853,5707
310M200US15980,15980,"Cape Coral-Fort Myers, FL Metro Area",16118,3764
310M200US16020,16020,"Cape Girardeau, MO-IL Metro Area",17827,7478
310M200US16060,16060,"Carbondale-Marion, IL Metro Area",14023,3388
310M200US16300,16300,"Cedar Rapids, IA Metro Area",15055,5289
310M200US16540,16540,"Chambersburg-Waynesboro, PA Metro Area",16539,3063
310M200US16580,16580,"Champaign-Urbana, IL Metro Area",15696,2228
310M200US16620,16620,"Charleston, WV Metro Area",19137,3942
310M200US16700,16700,"Charleston-North Charleston, SC Metro Area",19923,1789
310M200US16740,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",20972,952
310M200US16820,16820,"Charlottesville, VA Metro Area",23948,6253
310M200US16860,16860,"Chattanooga, TN-GA Metro Area",18208,1548
310M200US16940,16940,"Cheyenne, WY Metro Area",19090,6923
310M200US16980,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",20702,540
310M200US17020,17020,"Chico, CA Metro Area",10666,3482
310M200US17140,17140,"Cincinnati, OH-KY-IN Metro Area",19287,947
310M200US17300,17300,"Clarksville, TN-KY Metro Area",19043,1655
310M200US17420,17420,"Cleveland, TN Metro Area",16764,4675
310M200US17460,17460,"Cleveland-Elyria, OH Metro Area",17192,516
310M200US17660,17660,"Coeur d'Alene, ID Metro Area",13568,6751
