Regional,Nome do bloco,Data,Concentração,etapa,rota,lon,lat,stage
Sé,1007 AUGUSTA,2017-02-25T00:00:00Z,14:00,dois,a Martins Fontes,-46.04173,-23.586634,C
Sé,1007 AUGUSTA,2017-02-25T00:00:00Z,14:00,tres,Vale do Anhangabau,-46.636521,-23.545234,D
Capela do Socorro,A C R B C Atrás do Copo,2017-02-19T00:00:00Z,12:00,inicio,Rua Doutor Rui Rodrigues Doria,-46.63611,-23.5475,A
Lapa,A Crema do Carnaval,2017-02-18T00:00:00Z,19:00,inicio,rua ministrua ferreirua alves,-46.63611,-23.5475,A
Lapa,A Crema do Carnaval,2017-02-18T00:00:00Z,19:00,um,Rua Drua Miranda de Azevedo,-46.63611,-23.5475,B
Lapa,A Crema do Carnaval,2017-02-18T00:00:00Z,19:00,dois,Rua Jose Tavares de Miranda,-46.687352,-23.526886,C
Lapa,A Crema do Carnaval,2017-02-18T00:00:00Z,19:00,tres,Rua Drua Augusto de Miranda,-46.63611,-23.5475,D
Lapa,A Crema do Carnaval,2017-02-18T00:00:00Z,19:00,quatro,Rua  Padrua Chico,-46.63611,-23.5475,E
Lapa,A Crema do Carnaval,2017-02-18T00:00:00Z,19:00,cinco,Rua Barao de Bananal,-46.683972,-23.525997,F
Pinheiros,A Ema Gemeu de Canto a Canto,2017-02-18T00:00:00Z,12:00,inicio,Padrua Garcia Velho,-46.613357,-23.585707,A
Pinheiros,A Ema Gemeu de Canto a Canto,2017-02-18T00:00:00Z,12:00,um,Inacio Pereirua da Rocha,-46.687422,-23.558699,B
Pinheiros,A Ema Gemeu de Canto a Canto,2017-02-18T00:00:00Z,12:00,dois,Morato Coelho,-46.705572,-23.57226,C
Pinheiros,A Ema Gemeu de Canto a Canto,2017-02-18T00:00:00Z,12:00,quatro,Fradique Coutinho,-46.684157,-23.566285,E
Pinheiros,A Ema Gemeu de Canto a Canto,2017-02-18T00:00:00Z,12:00,cinco,Aspicuelta c,-46.63611,-23.5475,F
Pinheiros,A Ema Gemeu de Canto a Canto,2017-02-18T00:00:00Z,12:00,seis,Rua Simpatia,-46.68652,-23.553434,G
Sé,A Massaroca - Bloco de Cultura,2017-02-19T00:00:00Z,16:00,um,Rua Marques de Itu,-46.64909,-23.543778,B
Sé,A Massaroca - Bloco de Cultura,2017-02-19T00:00:00Z,16:00,dois,Rua Doutor Vila Nova,-46.63611,-23.5475,C
Sé,A Massaroca - Bloco de Cultura,2017-02-19T00:00:00Z,16:00,tres,Rua Major Sertorio,-46.65067,-23.545338,D
Santana/Tucuruvi,A.C.S. B C Coração do Tucuruvi,2017-02-26T00:00:00Z,14:00,inicio,Rua SALVADOR BICUDO,-46.607664,-23.478346,A
Santana/Tucuruvi,A.C.S. B C Coração do Tucuruvi,2017-02-26T00:00:00Z,14:00,um,AV. MAZZEI,-46.63611,-23.5475,B
Santana/Tucuruvi,A.C.S. B C Coração do Tucuruvi,2017-02-26T00:00:00Z,14:00,dois,R. BARTOLOMEU DE TORALES,-46.63611,-23.5475,C
Ipiranga,"A.R.C. BLOCO CARNAV. NEGA-FULÔ",2017-02-18T00:00:00Z,14:00,inicio,Av. Cel. Jose Pires de Andrade,-46.63611,-23.5475,A
Ipiranga,"A.R.C. BLOCO CARNAV. NEGA-FULÔ",2017-02-18T00:00:00Z,14:00,um,R. Abagiba,-46.606145,-23.621405,B
Ipiranga,"A.R.C. BLOCO CARNAV. NEGA-FULÔ",2017-02-18T00:00:00Z,14:00,dois,Casa de Culturua Chico Sciense,-46.267622,-23.620048,C
Pinheiros,Abacabloco,2017-02-18T00:00:00Z,14:00,inicio,Rua Maestrua Elias Lobo,-46.63611,-23.5475,A
Lapa,AC Bloco de Rua Barracão Folia,2017-02-18T00:00:00Z,11:00,inicio,Rua Diana,-46.681311,-23.533328,A
Lapa,AC Bloco de Rua Barracão Folia,2017-02-18T00:00:00Z,11:00,um,Rua Palestrua Italia,-46.264457,-23.647717,B
Lapa,AC Bloco de Rua Barracão Folia,2017-02-18T00:00:00Z,11:00,dois,Rua Caraibas,-46.683255,-23.533588,C
Lapa,AC Bloco de Rua Barracão Folia,2017-02-18T00:00:00Z,11:00,tres,Rua Pe. Chico,-46.63611,-23.5475,D
Lapa,AC Bloco de Rua Barracão Folia,2017-02-18T00:00:00Z,11:00,quatro,Rua Diana,-46.681311,-23.533328,E
Lapa,AC Bloco de Rua Barracão Folia,2017-02-18T00:00:00Z,11:00,cinco,a Rua Palestrua Italia.,-46.63611,-23.5475,F
Sé,Acadêmicos da 9 de Julho,2017-02-19T00:00:00Z,10:00,inicio,Rua Itapeva,-46.521526,-23.554856,A
Sé,Acadêmicos da 9 de Julho,2017-02-19T00:00:00Z,10:00,dois,Rua Rocha,-46.649619,-23.559447,C
Mooca,"Acadêmicos da Anhembi Morumbi",2017-03-04T00:00:00Z,14:00,inicio,Rua Frei Gasparua Rua Almirante Brasil,-46.606814,-23.551165,A
Mooca,"Acadêmicos da Anhembi Morumbi",2017-03-04T00:00:00Z,14:00,um,Rua Visconde de Parnaiba,-46.594886,-23.538981,B
Mooca,"Acadêmicos da Anhembi Morumbi",2017-03-04T00:00:00Z,14:00,dois,ndo em frente Museu do Imigrante Rua,-46.039079,-23.577967,C
