"Partido";"Qt Votos Legenda";"Qt Votos Nominais";"Qt Votos Validos";"Per Cent Validos";"Qt Candidatos";"Eleito";"2 Turno";"Nao Eleito"
"DEM";"0";"2.023.675";"2.023.675";"1,90";"2.898";"2.898";"0";"0"
"";"";"NOVO";"0";"64.652";"64.652";"0,06";"4";"4";"0";"0"
"";"";"PC do B";"0";"743.027";"743.027";"0,70";"1.002";"1.002";"0";"0"
"";"";"PCB";"0";"636";"636";"0,00";"1";"1";"0";"0"
"";"";"PDT";"0";"2.417.629";"2.417.629";"2,27";"3.767";"3.767";"0";"0"
"";"";"PEN";"0";"377.710";"377.710";"0,35";"522";"522";"0";"0"
"";"";"PHS";"0";"690.047";"690.047";"0,65";"873";"873";"0";"0"
"";"";"PMB";"0";"209.034";"209.034";"0,20";"218";"218";"0";"0"
"";"";"PMDB";"0";"4.486.072";"4.486.072";"4,21";"7.562";"7.562";"0";"0"
"";"";"PMN";"0";"395.027";"395.027";"0,37";"527";"527";"0";"0"
"";"";"PP";"0";"2.641.166";"2.641.166";"2,48";"4.739";"4.739";"0";"0"
"";"";"PPL";"0";"100.816";"100.816";"0,09";"111";"111";"0";"0"
"";"";"PPS";"0";"1.140.684";"1.140.684";"1,07";"1.669";"1.669";"0";"0"
"";"";"PR";"0";"1.906.000";"1.906.000";"1,79";"3.014";"3.014";"0";"0"
"";"";"PRB";"0";"1.524.429";"1.524.429";"1,43";"1.620";"1.620";"0";"0"
"";"";"PROS";"0";"641.092";"641.092";"0,60";"984";"984";"0";"0"
"";"";"PRP";"0";"522.953";"522.953";"0,49";"615";"615";"0";"0"
"";"";"PRTB";"0";"299.139";"299.139";"0,28";"389";"389";"0";"0"
"";"";"PSB";"0";"2.489.136";"2.489.136";"2,33";"3.630";"3.630";"0";"0"
"";"";"PSC";"0";"1.151.593";"1.151.593";"1,08";"1.525";"1.525";"0";"0"
"";"";"PSD";"0";"2.892.665";"2.892.665";"2,71";"4.640";"4.640";"0";"0"
"";"";"PSDB";"0";"3.820.052";"3.820.052";"3,58";"5.364";"5.364";"0";"0"
"";"";"PSDC";"0";"360.505";"360.505";"0,34";"418";"418";"0";"0"
"";"";"PSL";"0";"587.793";"587.793";"0,55";"878";"878";"0";"0"
"";"";"PSOL";"0";"363.113";"363.113";"0,34";"56";"56";"0";"0"
"";"";"PT";"0";"2.239.430";"2.239.430";"2,10";"2.813";"2.813";"0";"0"
"";"";"PT do B";"0";"360.186";"360.186";"0,34";"491";"491";"0";"0"
"";"";"PTB";"0";"1.847.989";"1.847.989";"1,73";"3.056";"3.056";"0";"0"
"";"";"PTC";"0";"451.276";"451.276";"0,42";"571";"571";"0";"0"
"";"";"PTN";"0";"618.966";"618.966";"0,58";"763";"763";"0";"0"
"";"";"PV";"0";"1.049.348";"1.049.348";"0,98";"1.519";"1.519";"0";"0"
"";"";"REDE";"0";"156.650";"156.650";"0,15";"180";"180";"0";"0"
"";"";"SD";"0";"1.050.723";"1.050.723";"0,99";"1.437";"1.437";"0";"0"
"Subtotal";"";"";"0";"39.623.213";"39.623.213";"";"57.856";"57.856";"0";"0"
"Subtotal";"";"";"0";"39.623.213";"39.623.213";"";"57.856";"57.856";"0";"0"
"Total Geral";"";"";"0";"39.623.213";"39.623.213";"";"57.856";"57.856";"0";"0"
