GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Per capita income in the past 12 months (in 2015 Inflation-adjusted dollars),Margin of Error; Per capita income in the past 12 months (in 2015 Inflation-adjusted dollars)
310M200US10180,10180,"Abilene, TX Metro Area",26714,1343
310M200US10380,10380,"Aguadilla-Isabela, PR Metro Area",8494,463
310M200US10420,10420,"Akron, OH Metro Area",31451,760
310M200US10500,10500,"Albany, GA Metro Area",28748,2479
310M200US10540,10540,"Albany, OR Metro Area",23380,1504
310M200US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",35587,795
310M200US10740,10740,"Albuquerque, NM Metro Area",29132,809
310M200US10780,10780,"Alexandria, LA Metro Area",25491,1587
310M200US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",32504,714
310M200US11020,11020,"Altoona, PA Metro Area",25667,1366
310M200US11100,11100,"Amarillo, TX Metro Area",28081,1429
310M200US11180,11180,"Ames, IA Metro Area",28708,2565
310M200US11260,11260,"Anchorage, AK Metro Area",42886,1862
310M200US11460,11460,"Ann Arbor, MI Metro Area",38872,1366
310M200US11500,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",23511,1226
310M200US11540,11540,"Appleton, WI Metro Area",30753,984
310M200US11640,11640,"Arecibo, PR Metro Area",10109,1112
310M200US11700,11700,"Asheville, NC Metro Area",28424,1294
310M200US12020,12020,"Athens-Clarke County, GA Metro Area",27245,1531
310M200US12060,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",36931,574
310M200US12100,12100,"Atlantic City-Hammonton, NJ Metro Area",33711,1438
310M200US12220,12220,"Auburn-Opelika, AL Metro Area",26473,1967
310M200US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",30253,1320
310M200US12420,12420,"Austin-Round Rock, TX Metro Area",37202,730
310M200US12540,12540,"Bakersfield, CA Metro Area",22497,732
310M200US12580,12580,"Baltimore-Columbia-Towson, MD Metro Area",43226,738
310M200US12620,12620,"Bangor, ME Metro Area",24200,1315
310M200US12700,12700,"Barnstable Town, MA Metro Area",40636,2071
310M200US12940,12940,"Baton Rouge, LA Metro Area",34912,1157
310M200US12980,12980,"Battle Creek, MI Metro Area",24735,1070
310M200US13020,13020,"Bay City, MI Metro Area",23838,1247
310M200US13140,13140,"Beaumont-Port Arthur, TX Metro Area",28913,1545
310M200US13220,13220,"Beckley, WV Metro Area",20643,1130
310M200US13380,13380,"Bellingham, WA Metro Area",31433,2071
310M200US13460,13460,"Bend-Redmond, OR Metro Area",33264,2893
310M200US13740,13740,"Billings, MT Metro Area",31375,1725
310M200US13780,13780,"Binghamton, NY Metro Area",28349,993
310M200US13820,13820,"Birmingham-Hoover, AL Metro Area",32760,919
310M200US13900,13900,"Bismarck, ND Metro Area",38472,2697
310M200US13980,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",28456,2115
310M200US14010,14010,"Bloomington, IL Metro Area",34960,1808
310M200US14020,14020,"Bloomington, IN Metro Area",25705,1697
310M200US14100,14100,"Bloomsburg-Berwick, PA Metro Area",24370,1325
310M200US14260,14260,"Boise City, ID Metro Area",26986,1206
310M200US14460,14460,"Boston-Cambridge-Newton, MA-NH Metro Area",45711,546
310M200US14500,14500,"Boulder, CO Metro Area",42422,2748
310M200US14540,14540,"Bowling Green, KY Metro Area",24567,1628
310M200US14740,14740,"Bremerton-Silverdale, WA Metro Area",34168,1454
310M200US14860,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",57862,1810
310M200US15180,15180,"Brownsville-Harlingen, TX Metro Area",15186,766
310M200US15260,15260,"Brunswick, GA Metro Area",30811,3315
310M200US15380,15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",32478,714
310M200US15500,15500,"Burlington, NC Metro Area",26365,2714
310M200US15540,15540,"Burlington-South Burlington, VT Metro Area",35041,1647
310M200US15680,15680,"California-Lexington Park, MD Metro Area",40333,2301
310M200US15940,15940,"Canton-Massillon, OH Metro Area",28380,865
310M200US15980,15980,"Cape Coral-Fort Myers, FL Metro Area",30345,964
310M200US16020,16020,"Cape Girardeau, MO-IL Metro Area",28189,3280
310M200US16060,16060,"Carbondale-Marion, IL Metro Area",25330,1656
310M200US16180,16180,"Carson City, NV Metro Area",28381,3137
310M200US16300,16300,"Cedar Rapids, IA Metro Area",32656,1267
310M200US16540,16540,"Chambersburg-Waynesboro, PA Metro Area",28027,1092
310M200US16580,16580,"Champaign-Urbana, IL Metro Area",31347,1782
310M200US16620,16620,"Charleston, WV Metro Area",25703,1046
310M200US16700,16700,"Charleston-North Charleston, SC Metro Area",36096,1373
310M200US16740,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",34176,548
310M200US16820,16820,"Charlottesville, VA Metro Area",36604,1735
310M200US16860,16860,"Chattanooga, TN-GA Metro Area",28198,949
310M200US16940,16940,"Cheyenne, WY Metro Area",35486,3551
310M200US16980,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",38971,387
310M200US17020,17020,"Chico, CA Metro Area",25645,1242
310M200US17140,17140,"Cincinnati, OH-KY-IN Metro Area",32536,496
310M200US17300,17300,"Clarksville, TN-KY Metro Area",23265,950
310M200US17420,17420,"Cleveland, TN Metro Area",25519,3189
310M200US17460,17460,"Cleveland-Elyria, OH Metro Area",33982,507
310M200US17660,17660,"Coeur d'Alene, ID Metro Area",26561,1684
310M200US17780,17780,"College Station-Bryan, TX Metro Area",27864,1393
310M200US17820,17820,"Colorado Springs, CO Metro Area",32341,989
310M200US17860,17860,"Columbia, MO Metro Area",28935,1959
310M200US17900,17900,"Columbia, SC Metro Area",32303,852
310M200US17980,17980,"Columbus, GA-AL Metro Area",28824,2239
310M200US18020,18020,"Columbus, IN Metro Area",28276,2309
310M200US18140,18140,"Columbus, OH Metro Area",33510,596
310M200US18580,18580,"Corpus Christi, TX Metro Area",26013,1133
310M200US18700,18700,"Corvallis, OR Metro Area",32089,1952
310M200US18880,18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",31957,1945
310M200US19060,19060,"Cumberland, MD-WV Metro Area",21347,1006
310M200US19100,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",34571,456
310M200US19140,19140,"Dalton, GA Metro Area",22289,2267
310M200US19180,19180,"Danville, IL Metro Area",25975,2076
310M200US19300,19300,"Daphne-Fairhope-Foley, AL Metro Area",30755,1985
310M200US19340,19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",30044,906
310M200US19380,19380,"Dayton, OH Metro Area",29820,671
310M200US19460,19460,"Decatur, AL Metro Area",25735,1716
310M200US19500,19500,"Decatur, IL Metro Area",32518,2320
310M200US19660,19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",26864,1133
310M200US19740,19740,"Denver-Aurora-Lakewood, CO Metro Area",39687,566
310M200US19780,19780,"Des Moines-West Des Moines, IA Metro Area",34855,1085
310M200US19820,19820,"Detroit-Warren-Dearborn, MI Metro Area",33671,384
310M200US20020,20020,"Dothan, AL Metro Area",26992,1405
310M200US20100,20100,"Dover, DE Metro Area",28485,1590
310M200US20220,20220,"Dubuque, IA Metro Area",29974,1259
310M200US20260,20260,"Duluth, MN-WI Metro Area",29075,968
310M200US20500,20500,"Durham-Chapel Hill, NC Metro Area",39128,1559
310M200US20700,20700,"East Stroudsburg, PA Metro Area",25889,1482
310M200US20740,20740,"Eau Claire, WI Metro Area",28210,1438
310M200US20940,20940,"El Centro, CA Metro Area",16629,1239
310M200US21060,21060,"Elizabethtown-Fort Knox, KY Metro Area",25191,1342
310M200US21140,21140,"Elkhart-Goshen, IN Metro Area",24129,1456
310M200US21300,21300,"Elmira, NY Metro Area",28099,1951
310M200US21340,21340,"El Paso, TX Metro Area",19402,654
310M200US21500,21500,"Erie, PA Metro Area",28253,1143
310M200US21660,21660,"Eugene, OR Metro Area",27336,959
310M200US21780,21780,"Evansville, IN-KY Metro Area",28323,1642
